N,P,K,temperature,humidity,ph,rainfall,label
70,37,44,24.18393384,81.70686254,7.751314512,253.8043808,rice
82,54,40,21.1936457,83.21948488,7.061959238,195.1019906,rice
82,58,45,25.25453908,84.37565604,7.717231943,202.311623,rice
68,49,39,24.47733189,82.86795117,7.248617531,206.5223286,rice
68,51,44,22.45786846,83.87091604,7.505121333,269.9397844,rice
70,45,43,22.64540151,82.7378162,7.067259261,275.828937,rice
96,56,37,24.80998328,83.64519716,7.553324505,261.054271,rice
63,42,39,21.21839885,82.37182755,6.439029089,188.7467992,rice
70,42,35,24.84583027,83.9183796,7.493956872,224.6647032,rice
68,59,39,22.42400289,84.95794442,6.763003577,272.5004075,rice
81,44,35,26.65424379,82.2410465,7.764691418,294.5550911,rice
84,49,36,25.68709429,83.52549041,7.326805632,223.8767008,rice
60,35,37,22.99541885,82.38201208,7.353292347,239.051946,rice
95,49,37,22.95949271,84.8364852,7.377432369,264.8141824,rice
80,49,41,25.45212467,83.74788739,6.630304788,286.3406161,rice
93,43,45,26.86640941,83.72766724,6.555530139,252.1035949,rice
95,48,43,26.25388866,84.74241407,6.373461807,203.8389936,rice
75,44,41,23.71083525,84.72019757,6.384146098,205.8808679,rice
74,38,38,21.13414573,82.03701789,6.114170004,200.0316971,rice
88,60,42,25.87792325,82.44360325,6.774343293,262.2601264,rice
66,53,35,26.45459313,81.49838478,7.815251934,255.3682273,rice
96,43,43,23.98571329,83.73104766,7.606052714,264.2184519,rice
66,36,38,24.63132392,81.46461569,6.759069492,226.335258,rice
75,59,38,23.52990168,81.66871474,7.944888115,185.2301095,rice
95,41,41,23.29610622,84.18330592,7.415899191,209.6956337,rice
99,44,39,25.56616753,84.32379858,7.903278869,256.022067,rice
94,60,44,25.43433309,82.54006274,6.335407928,245.5447995,rice
61,56,43,26.29963606,83.84944401,7.244978093,226.5652451,rice
63,54,39,25.98339037,81.74603981,7.691277622,271.4726645,rice
94,59,35,24.51800862,81.07228517,6.972185679,189.3984702,rice
64,53,45,21.59200226,82.79768368,6.117707304,225.889893,rice
76,56,38,23.02105754,81.38086303,6.912967404,220.8439365,rice
84,39,39,25.920055,83.25634144,6.428847554,207.5842054,rice
65,35,39,23.72208168,83.45677419,6.518817356,288.0580154,rice
87,45,37,24.09341891,83.31160741,6.611074914,231.7632693,rice
70,56,42,26.94783792,81.49739454,7.126810051,278.8175847,rice
68,44,35,23.01175092,82.64914555,7.711095298,256.5846585,rice
89,51,44,25.23558288,82.64586863,7.43995169,184.2449672,rice
89,41,45,25.32101723,82.18907291,7.088089762,290.2478943,rice
92,37,43,22.16623677,84.30839876,6.53735661,243.8683725,rice
65,53,38,22.50488304,83.34481506,6.857790607,277.3067432,rice
80,40,35,21.75231777,82.19752031,6.933979862,239.6266818,rice
62,51,36,26.75959295,83.47926664,6.029546427,254.3821078,rice
65,49,37,23.52043624,81.32357599,7.746832098,194.6761759,rice
97,56,44,25.15554567,81.08083735,7.774365953,237.0875532,rice
61,45,37,23.80224311,84.27355826,7.1258355,296.7572417,rice
71,42,36,24.71688406,81.39624671,7.937267948,261.0665159,rice
94,37,35,21.91170142,81.89910024,7.827283663,270.9449716,rice
66,47,43,24.70323353,83.25231784,6.072843369,223.3221807,rice
89,44,44,26.95474918,82.27664095,7.394441312,287.4762285,rice
66,59,42,21.36444707,82.01479749,6.437493723,242.9569807,rice
70,49,36,23.75608472,82.70534712,7.912795808,231.8181982,rice
97,39,44,23.01980769,84.05657701,6.682700311,254.4038384,rice
64,38,39,26.60913227,84.42929115,6.117175693,255.4281023,rice
65,51,38,22.52054917,81.25599108,7.490914371,244.3669036,rice
90,55,44,23.90407574,82.73759924,6.488980265,285.3935596,rice
63,57,38,22.84447875,82.58918824,6.877287136,200.7494866,rice
88,57,36,26.28520331,81.59144089,6.337835103,188.8812254,rice
94,49,45,25.25368743,81.42653411,7.134881766,214.9497299,rice
70,59,37,23.8460578,83.10993029,6.058846977,196.8844984,rice
63,42,45,26.31188096,81.04358492,6.385698512,204.5030413,rice
64,39,35,21.81586655,81.40071323,6.171311085,233.1512671,rice
81,58,38,22.34387308,83.35508419,6.980265531,209.168964,rice
97,51,44,22.18452114,81.81659791,7.990407109,238.3999327,rice
81,39,36,25.8568977,84.33006413,7.871601279,194.0673431,rice
74,60,43,22.01671987,84.05901561,7.226762664,271.4603179,rice
93,53,36,25.62309315,84.89333239,6.697311048,268.4021892,rice
98,43,39,24.49851983,82.05881096,6.202367679,206.8311611,rice
77,54,39,23.95031814,81.0260072,6.792468556,293.0520664,rice
63,46,36,21.73141088,84.99959934,6.747653911,255.6936305,rice
66,38,40,21.65099041,82.5155893,6.864687419,191.4804449,rice
80,48,40,26.01179788,81.16851541,6.84945438,225.2062778,rice
66,39,38,24.87804998,83.72996377,6.891372563,230.3792532,rice
68,57,37,25.11982179,83.62321287,7.311302014,291.4778044,rice
84,41,41,22.2649409,83.50427785,6.775995405,240.413193,rice
94,42,40,26.46473255,84.06383814,7.970739532,203.3357847,rice
89,46,39,25.82056337,84.23779132,7.867533331,203.9815721,rice
70,42,45,24.3113657,84.36707456,7.857216367,221.6950547,rice
82,35,37,22.22596114,81.48713617,6.190340548,288.9012258,rice
83,51,43,24.59667591,81.17313904,6.437866227,206.4214803,rice
97,54,36,23.77992913,81.14494363,7.253548818,206.0167404,rice
80,59,39,26.72856709,82.26382616,7.491811747,235.318819,rice
90,58,42,26.96290373,82.24464361,6.188917934,266.9808527,rice
97,52,35,24.53089212,84.56055709,6.836504441,250.0415659,rice
61,47,43,24.78999107,81.96876065,7.476633017,269.7483228,rice
85,37,43,23.51854653,84.77190639,7.160259498,242.7679686,rice
63,45,38,23.61549186,84.46834498,6.567276623,259.6162282,rice
92,51,45,22.91668003,84.65309689,6.408843735,278.7331311,rice
90,56,42,25.5543615,82.19661716,7.158561979,277.2385615,rice
86,48,35,25.04782555,84.15184053,6.273106135,187.8390814,rice
92,35,38,26.09115324,81.37565883,7.478647274,205.4732502,rice
97,55,39,24.86317593,83.36773077,6.097597399,281.6250662,rice
88,59,42,22.50830877,83.37550982,7.505231028,195.1848123,rice
98,37,36,21.12532666,82.61003815,7.198535731,269.3630357,rice
99,59,42,21.49680626,81.37479858,6.736168314,224.7024697,rice
60,49,44,24.4957877,82.2572522,6.178256636,237.3722554,rice
71,52,41,21.60523551,83.21211759,7.873038473,231.5961834,rice
74,56,35,26.62299801,83.27369368,7.583098979,292.6788981,rice
60,41,42,24.7391412,81.32709158,6.760132904,248.4355091,rice
96,58,37,21.12643743,81.86974634,6.320837536,275.2262036,rice
75,51,37,25.78920915,81.32514111,7.661897431,287.5608824,rice
66,52,39,21.07231333,81.30466554,6.424217931,238.2861035,rice
64,41,41,21.5178708,81.7091034,6.266271013,233.9950686,rice
98,51,42,23.99737336,83.10581048,6.957049832,216.9938716,rice
90,35,38,24.683648,84.65070816,7.575586057,271.4813414,rice
84,37,44,23.58233759,82.63450625,6.996212534,271.8873507,rice
90,37,40,24.54581459,84.89559449,7.060161735,225.4232045,rice
86,57,37,22.90326766,82.73881066,7.61645851,254.9564452,rice
65,39,36,25.21431189,83.44289988,6.067901502,283.8641053,rice
95,40,44,25.14186213,84.71981557,6.502620808,219.7594484,rice
71,50,40,24.01955883,81.04753614,7.609752102,270.4166788,rice
69,59,43,24.22475123,82.86858578,7.202616629,273.8558402,rice
73,49,39,26.45837494,84.24480892,7.09651452,237.6168219,rice
82,55,39,26.13385359,84.89518961,6.099618762,244.6125438,rice
71,54,44,22.71112171,81.28225637,6.829793203,286.0489555,rice
99,52,35,25.72902999,84.72401455,7.170665226,254.5645364,rice
81,48,39,24.08424388,83.49501595,6.34975032,250.9158886,rice
69,39,35,26.39528136,81.76556479,7.167256735,235.7703968,rice
72,37,35,21.34405004,82.07744141,7.543519299,256.7599054,rice
81,36,40,24.77882058,81.86764775,6.642078969,287.2048805,rice
67,37,41,21.37301077,83.3655222,7.883614331,263.3238006,rice
94,46,36,24.91945309,81.99832011,7.667207898,282.4567974,rice
92,45,36,22.67481962,81.92149796,7.175453976,281.526991,rice
96,39,40,21.96899443,81.98972653,6.796887278,187.6051802,rice
88,56,37,24.57610914,84.01947757,6.83772356,287.9741935,rice
84,56,35,22.92386221,81.36571973,6.775304347,259.7139907,rice
91,56,44,23.91502311,81.0134388,7.026991521,202.8010883,rice
92,57,37,24.1076165,81.01139693,6.867533388,242.1218439,rice
75,42,45,21.15572707,83.34085016,7.902225749,240.4532188,rice
78,59,38,23.89036405,82.14889243,6.994245326,233.2977678,rice
77,57,39,21.14994788,84.2775003,6.910670187,264.4999101,rice
82,42,38,22.6781592,82.8054178,6.287219495,280.893452,rice
80,47,45,22.96485211,83.43942618,7.660944893,216.0724767,rice
93,55,37,22.5966414,81.04410067,6.119080071,191.4054068,rice
67,35,19,21.31557016,64.46329227,6.674592376,106.2072004,maize
88,42,15,21.87559728,64.80832142,6.334955409,102.7949031,maize
81,57,24,19.98059173,58.38097838,6.046705184,67.49076583,maize
88,60,17,23.4758521,56.42368659,6.526829916,98.13292405,maize
67,53,19,22.72236655,58.13556848,6.661047076,72.19571875,maize
74,44,21,25.21738761,70.67591319,6.974864491,75.14682828,maize
92,55,24,19.12178527,67.79516026,6.982387139,63.60893494,maize
69,56,22,26.12355927,70.33987043,6.208702574,99.5875799,maize
94,55,17,20.93205226,57.46208314,6.655129106,89.90913549,maize
78,55,20,23.01675942,68.60562255,6.593768365,99.51888239,maize
69,41,21,23.5884961,60.24154126,6.786850097,70.14390808,maize
85,58,17,24.7450969,64.506067,6.597885047,88.07161274,maize
65,46,16,21.78009383,62.67540978,6.221279462,88.61384378,maize
77,35,24,26.76681474,65.8125689,6.927428659,64.58277717,maize
63,50,16,20.31461771,72.21700922,6.960767163,100.0285674,maize
84,39,19,19.78571074,66.73313231,6.234245913,93.31031025,maize
71,42,21,20.09412477,64.44732328,6.251160325,62.14571482,maize
60,38,16,24.02790101,71.91199327,6.15514813,77.71518115,maize
100,38,16,24.27010556,63.74994095,6.736598954,81.21959621,maize
68,48,18,21.55835674,73.81067004,6.004432919,69.38558919,maize
69,60,24,23.30949211,60.76619684,6.574356752,95.70083091,maize
83,38,24,19.51622051,65.46789499,6.407554569,95.58792232,maize
71,58,18,21.35043816,71.02669723,6.207936576,62.69438261,maize
73,56,22,23.33686133,64.48496724,6.797614411,102.9573138,maize
64,60,19,20.33129772,60.44753697,6.293810121,65.49816631,maize
73,43,15,19.4671915,62.43511479,6.33298953,91.40213983,maize
82,57,16,19.11429251,74.32546447,6.627567924,62.52701481,maize
68,54,20,25.13382246,57.34808279,6.792762553,79.54665914,maize
66,44,21,22.75629587,73.31298366,6.67259177,107.0366585,maize
87,46,23,21.30924741,56.89764149,6.858697976,81.26317208,maize
65,41,20,26.76894242,61.58668632,6.673463564,98.14293201,maize
96,38,18,24.23143656,59.37517546,6.601078755,93.94722768,maize
84,47,19,26.54604201,59.77781385,6.44796988,101.3654234,maize
73,51,25,19.9141695,61.17104996,6.329876188,71.68488745,maize
64,57,23,24.88081186,71.42880141,6.233187239,66.81666938,maize
78,53,15,25.07430688,72.74738655,6.964024663,107.4739324,maize
98,56,19,20.15850112,58.46993696,6.182342585,68.68995928,maize
97,56,20,21.68095509,66.65978726,6.678636366,99.52116766,maize
69,37,16,20.98902232,72.11137735,6.335249016,85.36027761,maize
74,48,18,26.35574659,60.23086682,6.381404891,67.05812869,maize
82,37,17,21.72734499,63.39255721,6.800876658,95.08036839,maize
62,35,25,22.38029484,70.81405621,6.870551179,107.3874831,maize
96,38,17,23.92722743,66.24411184,6.060536424,93.69018456,maize
83,52,15,23.25471033,71.74515297,6.433451756,74.6353368,maize
93,54,16,26.087554,71.23768409,6.417426576,80.85177322,maize
93,38,16,20.42493596,59.87290635,6.092915267,64.29921967,maize
90,48,19,26.30216845,68.03106349,6.293740415,64.62785894,maize
100,57,19,25.4773793,57.35431381,6.505808096,102.2530691,maize
74,38,19,24.46753533,72.45542072,6.604165714,101.054079,maize
61,47,22,25.24891967,57.94435815,6.976281102,104.4626834,maize
93,47,19,20.40261527,66.19376122,6.708224057,69.5208157,maize
83,51,15,20.47701591,73.39419243,6.826356668,99.35990353,maize
74,47,17,20.57535977,65.85822666,6.694720894,96.32273184,maize
67,35,17,20.75436991,59.57049857,6.725938749,105.8829979,maize
62,37,16,21.4098313,66.76248026,6.460656902,68.20759577,maize
90,58,15,25.24606648,59.55322789,6.205193188,91.23729985,maize
82,52,19,23.93315638,68.339368,6.775401074,63.29025682,maize
70,58,16,23.02912688,69.95953068,6.831994487,105.8222833,maize
80,43,17,21.73566437,57.42965894,6.155485059,101.0990557,maize
76,56,25,23.40938368,62.46918061,6.261097567,80.88077689,maize
70,53,25,26.98178805,57.98776788,6.109912352,77.09689133,maize
86,39,17,22.24884455,64.55049973,6.912432705,63.49416842,maize
85,45,17,22.44908589,72.96854281,6.425563526,100.5181163,maize
75,35,25,25.88974698,66.87544857,6.25980523,105.5566327,maize
76,48,16,20.08347961,66.68698331,6.79498062,108.7301931,maize
68,55,21,19.43698607,74.71833499,6.826846602,78.79073055,maize
95,46,15,21.8094979,57.3066644,6.715148461,98.81972831,maize
88,45,18,21.97723297,73.10752001,6.029727411,77.13365701,maize
75,39,25,26.94654024,64.05175767,6.837520566,89.68055229,maize
81,60,15,21.35983477,64.64499138,6.104829353,63.22575053,maize
99,55,18,20.51721871,62.62217592,6.612275747,64.89458566,maize
91,47,24,19.69042502,68.09117874,6.324245263,109.6080041,maize
71,60,16,24.28604439,72.86045893,6.200150395,88.57508887,maize
75,49,21,26.97512549,58.39657709,6.952147624,63.39468718,maize
60,48,21,25.72672113,63.95605121,6.998659188,104.8935067,maize
77,36,23,26.79207214,73.05773366,6.133886397,81.32716423,maize
77,50,24,26.73546454,69.8426606,6.741359356,66.02898271,maize
78,41,22,22.56062259,74.38050697,6.165257545,75.78347148,maize
81,59,22,19.92782076,71.76787952,6.884970352,92.88540847,maize
93,48,24,24.01752625,72.64855879,6.340483847,64.76479632,maize
71,40,15,25.13738991,61.78143352,6.400189491,106.259146,maize
89,54,15,19.80179821,70.011491,6.679767452,82.44762708,maize
95,35,24,21.63310051,60.97078904,6.496101289,96.5287995,maize
83,36,24,21.93871937,71.74011455,6.951115235,70.0619664,maize
94,56,25,24.84359939,71.62385392,6.973299441,81.0726776,maize
84,57,18,26.01944753,60.8951304,6.899370604,69.71211955,maize
61,50,21,19.78323473,60.53201785,6.192001027,87.57014519,maize
66,59,25,26.58057471,69.19807956,6.650410046,73.92528967,maize
62,37,25,20.90666498,63.06471896,6.069923883,106.4830622,maize
88,35,24,23.40375296,63.83863293,6.296502566,87.34954485,maize
93,42,25,25.90380219,68.51930966,6.605160717,95.24472734,maize
67,46,19,24.78627983,56.94141619,6.052676183,72.23931869,maize
85,45,25,21.00450608,56.61005307,6.793801198,71.01551587,maize
77,48,15,23.47448009,62.77454655,6.190136136,88.37456246,maize
64,36,15,21.90844422,67.98442369,6.843188169,78.85018774,maize
99,47,25,23.38584034,69.40875394,6.200217322,81.70682419,maize
73,49,21,23.85695465,70.89187184,6.438326133,89.21815854,maize
96,60,23,19.53006675,59.72299604,6.802416673,87.03878506,maize
60,56,19,20.62113242,66.82772821,6.291283394,80.05762133,maize
78,52,17,22.08847258,70.69527697,6.17416615,100.4553538,maize
67,35,18,23.00312548,67.24075716,6.434994481,85.52359355,maize
92,44,20,26.00096512,68.9819712,6.301782637,75.90475069,maize
77,41,24,25.72551706,68.9523504,6.821138196,67.42650984,maize
62,54,15,20.98256887,74.24697197,6.853292782,84.67738851,maize
68,43,20,20.63792857,70.98681586,6.982307602,75.18958241,maize
82,51,15,19.16314857,69.06499399,6.595336371,79.57020195,maize
72,47,24,26.03008277,70.51452099,6.645894346,90.69266437,maize
92,45,15,26.82322532,68.779295,6.532044323,102.4931172,maize
87,52,18,23.44822978,73.62388912,6.519246257,75.99428773,maize
88,50,16,19.76744491,63.96091909,6.858463625,92.97994801,maize
78,57,21,21.59041238,61.77928518,6.409779766,94.62106447,maize
94,56,19,20.18279741,71.79584876,6.022588449,64.92873804,maize
97,44,23,19.87229866,60.00031148,6.648440615,73.78733417,maize
71,55,15,22.42498735,56.14655397,6.228897455,64.48922439,maize
67,37,21,19.00047102,69.50862013,6.022995183,68.52761109,maize
75,35,18,24.53304558,64.86057511,6.089516866,77.42615849,maize
70,53,17,23.25471195,73.80933476,6.726157389,90.80468511,maize
89,48,20,24.07946341,67.5178965,6.386293676,64.66624719,maize
74,52,24,26.01708006,69.15261324,6.655074378,63.44743629,maize
99,38,18,22.83347852,64.63960758,6.660829079,97.88791826,maize
90,52,21,20.58023138,62.11579546,6.30241007,78.70645045,maize
60,58,22,20.18210507,73.98472808,6.555012245,99.55032756,maize
91,52,16,24.45175329,60.88981485,6.043314903,65.29295125,maize
60,50,22,24.36006081,67.9032239,6.178774941,62.03099502,maize
91,49,23,26.1797978,56.65241695,6.562808206,109.6878768,maize
80,49,21,24.21718351,62.77265732,6.217075767,100.7270184,maize
65,60,19,19.7756761,68.83862582,6.750031324,101.7961024,maize
61,53,16,22.52782183,71.9039932,6.817857912,65.7868435,maize
89,37,21,24.4361975,63.44959609,6.539997218,89.33668016,maize
74,50,18,19.89734851,70.12385777,6.628798676,109.697864,maize
68,50,20,20.17604496,58.72790873,6.544337071,105.3449195,maize
91,46,15,26.26053988,69.93742875,6.359560102,78.36310165,maize
82,44,16,24.40937703,64.64171854,6.423776962,83.51865015,maize
71,53,21,23.79771243,64.77709597,6.912718757,103.2163909,maize
70,41,25,23.97592614,74.06075259,6.491038413,89.32064008,maize
97,37,19,21.94503856,71.23485226,6.867283117,65.3467166,maize
87,47,24,25.21312968,61.00595783,6.152700051,98.01274366,maize
93,42,21,20.45819917,67.10657782,6.962005597,82.14473621,maize
61,55,22,25.28607014,63.51193036,6.081830752,62.64915892,maize
62,56,22,21.14340009,61.079755,6.785545852,93.87824963,maize
82,42,21,20.54502979,67.3897548,6.701230561,88.55673969,maize
64,40,19,26.41524721,57.95494687,6.973239412,64.18627968,maize
89,50,16,19.70137867,66.02138866,6.990082379,66.21226973,maize
96,50,18,23.81798251,71.94956542,6.423857352,62.49540386,maize
100,52,24,21.77906406,72.56696933,6.35051113,69.55977016,maize
64,41,16,22.58773532,74.75822745,6.766716251,73.46025817,maize
71,50,24,24.22641297,63.87002703,6.454584199,108.8042273,maize
69,44,24,25.36694242,69.30248843,6.900694168,79.70250709,maize
69,35,24,23.98013147,64.48877087,6.217750105,71.40516062,maize
69,41,21,25.00774769,61.06444547,6.367731486,67.84936376,maize
85,38,23,23.5485332,71.74307186,6.887326068,74.24646405,maize
61,48,15,19.12850694,59.78103052,6.838454219,103.5649626,maize
76,59,17,24.55858064,58.56684079,6.760965956,88.55625961,maize
78,54,25,20.90081817,71.245637,6.010822462,65.00945468,maize
68,38,23,22.68578667,68.39678966,6.388230779,72.82876033,maize
72,46,19,23.39990392,61.27672595,6.126267364,84.9457766,maize
66,44,18,23.45917968,68.25883796,6.047473519,91.29024842,maize
64,35,25,22.74597169,72.57766971,6.888247934,77.29957727,maize
64,37,24,26.90396346,66.2085272,6.657185748,66.18192527,maize
92,46,16,23.18723382,73.73224348,6.33383178,68.6621687,maize
89,55,19,22.47595374,63.18985976,6.737849574,98.47735892,maize
91,59,21,22.21752385,60.36704059,6.183894123,101.0799661,maize
98,58,17,24.99246453,57.49773394,6.169566599,64.54034868,maize
99,42,25,19.11771359,63.89269618,6.58007476,67.70111147,maize
95,54,19,26.00713661,58.66346715,6.783998809,75.43593726,maize
69,59,24,22.70996709,67.17410073,6.371631977,64.44783106,maize
66,57,25,20.96325137,68.97992311,6.576435062,64.01846855,maize
69,60,16,26.46864854,57.74631622,6.827010989,71.4363654,maize
70,52,22,20.54187945,65.90276536,6.569875787,103.7698364,maize
73,48,20,23.06122034,73.98724789,6.537588502,103.4399562,maize
81,48,21,22.95456054,60.66212656,6.203751349,91.89666982,maize
93,37,17,26.82173873,69.79202719,6.458962997,83.96007737,maize
67,49,21,21.39878586,72.50065691,6.528141603,71.76089712,maize
69,58,17,24.4888403,70.05813642,6.061415253,75.61058124,maize
79,58,21,23.65236511,57.23535687,6.968049388,84.37913117,maize
86,36,25,25.7882033,59.60809461,6.36403506,63.57968997,maize
99,39,22,24.16416111,73.89468124,6.527352988,71.59785679,maize
74,53,25,26.354774,62.53634658,6.353920592,100.9519306,maize
75,48,16,23.93170337,74.40147568,6.947848973,95.02293085,maize
66,56,17,22.54054763,60.17115331,6.142983075,104.9405088,maize
96,48,19,24.60878957,64.79128598,6.9833693,90.06358101,maize
92,35,23,26.15594666,67.96797677,6.608071663,109.1608072,maize
97,59,25,22.22674777,63.09061031,6.786553993,72.3121718,maize
70,42,22,21.25851768,64.90561106,6.382754858,70.29578018,maize
81,57,15,26.80699498,71.26325633,6.052787045,106.286711,maize
74,40,22,22.08042808,61.84256947,6.81475271,79.26390168,maize
80,46,23,24.70047685,71.03073216,6.458065276,91.61625362,maize
82,43,20,25.97945552,62.88654518,6.96402059,104.6685315,maize
97,38,17,25.56578784,66.04177617,6.974179486,73.64398828,maize
62,36,16,26.57032786,61.45793698,6.025230834,105.8045437,maize
81,57,16,23.34732279,57.37506352,6.864409676,68.44899733,maize
95,60,21,23.02563423,60.93676255,6.18163625,84.93653432,maize
83,53,18,23.53044455,73.21152762,6.350997703,92.59068707,maize
73,43,21,21.44576117,65.59045746,6.729244388,86.2490151,maize
84,36,18,22.06009749,64.24450946,6.100986603,99.58618227,maize
79,54,21,19.92516608,73.74719198,6.047523509,101.461639,maize
76,41,20,23.29892775,64.59738978,6.72545888,61.65301941,maize
85,39,25,23.92887323,71.87725488,6.320618068,72.49284012,maize
92,36,18,19.45653562,65.6439733,6.75809812,61.7584845,maize
76,37,19,25.15171366,57.66019318,6.328073837,65.15077539,maize
50,80,75,20.72890915,16.34784182,8.248647844,86.79387765,chickpea
23,74,84,19.95717253,18.32885457,8.0708032,66.78848162,chickpea
24,61,85,19.30756793,18.53248819,7.174529245,66.20375676,chickpea
59,76,81,18.4752412,17.58887348,8.803456903,68.84529969,chickpea
50,73,78,19.16164626,19.20762619,8.82336204,66.24453768,chickpea
55,57,76,18.98445869,15.73897244,7.701891843,87.52628159,chickpea
37,76,81,19.43444171,16.55067666,6.533216999,74.72569348,chickpea
47,70,83,20.36843499,19.40266527,8.843137609,89.97310915,chickpea
52,66,78,18.34579743,15.49831757,8.414594139,79.8693158,chickpea
26,58,82,20.56816535,17.14315528,8.005570648,67.57877528,chickpea
53,68,78,19.08618246,16.22595526,7.562499221,73.72350157,chickpea
27,70,81,20.16921356,16.97539932,6.703675814,73.22806484,chickpea
36,56,84,20.81055792,15.69641067,8.713658702,78.57562606,chickpea
33,73,84,18.06895832,18.76578976,7.645827652,82.0374857,chickpea
56,75,84,19.00801969,19.18355089,8.648663479,82.46814311,chickpea
57,64,77,20.72737659,19.38741801,8.986969555,68.30664577,chickpea
55,80,80,18.0030827,18.08444862,6.840645979,85.92813942,chickpea
46,63,76,19.28738559,15.82452241,7.561227556,66.29925393,chickpea
35,64,83,19.40287282,19.01540765,7.872277909,84.28160724,chickpea
55,74,75,20.26719695,17.61755039,7.11056379,66.06997282,chickpea
24,77,77,18.31838378,18.34135056,7.268077762,70.35473992,chickpea
45,56,78,20.75737045,19.52355403,8.889060768,66.35893402,chickpea
31,75,80,20.73112481,18.25496756,7.952142359,88.51227627,chickpea
